statement,database_field,sec_tag_base,sec_variations
income_statement,revenue,Revenue,Revenue
income_statement,cost_of_revenue,CostOfRevenue,CostOfRevenue
income_statement,gross_profit,GrossProfit,"GrossProfit, GrossProfitLoss"
income_statement,gross_profit_ratio,GrossProfitRatio,"GrossProfitRatio, GrossProfitLossRatio"
income_statement,research_and_development_expenses,ResearchAndDevelopmentExpenses,ResearchAndDevelopmentExpenses
income_statement,general_and_administrative_expenses,GeneralAndAdministrativeExpenses,GeneralAndAdministrativeExpenses
income_statement,selling_and_marketing_expenses,SellingAndMarketingExpenses,SellingAndMarketingExpenses
income_statement,selling_general_and_administrative_expenses,SellingGeneralAndAdministrativeExpenses,SellingGeneralAndAdministrativeExpenses
income_statement,other_expenses,OtherExpenses,OtherExpenses
income_statement,operating_expenses,OperatingExpenses,OperatingExpenses
income_statement,cost_and_expenses,CostAndExpenses,CostAndExpenses
income_statement,interest_income,InterestIncome,"InterestIncome, InterestIncomeLoss"
income_statement,interest_expense,InterestExpense,"InterestExpense, InterestExpenses"
income_statement,net_interest_income,NetInterestIncome,"NetInterestIncome, NetInterestIncomeLoss"
income_statement,depreciation_and_amortization,DepreciationAndAmortization,DepreciationAndAmortization
income_statement,ebitda,Ebitda,Ebitda
income_statement,ebitda_ratio,EbitdaRatio,EbitdaRatio
income_statement,ebit,Ebit,Ebit
income_statement,non_operating_income_excluding_interest,NonOperatingIncomeExcludingInterest,"NonOperatingIncomeExcludingInterest, NonOperatingIncomeLossExcludingInterest"
income_statement,operating_income,OperatingIncome,"OperatingIncome, OperatingIncomeLoss"
income_statement,operating_income_ratio,OperatingIncomeRatio,"OperatingIncomeRatio, OperatingIncomeLossRatio"
income_statement,total_other_income_expenses_net,TotalOtherIncomeExpensesNet,"TotalOtherIncomeExpensesNet, TotalOtherIncomeLossExpensesNet"
income_statement,income_before_tax,IncomeBeforeTax,"IncomeBeforeTax, IncomeLossBeforeTax"
income_statement,income_before_tax_ratio,IncomeBeforeTaxRatio,"IncomeBeforeTaxRatio, IncomeLossBeforeTaxRatio"
income_statement,income_tax_expense,IncomeTaxExpense,"IncomeTaxExpense, IncomeLossTaxExpense, IncomeTaxExpenses"
income_statement,net_income,NetIncome,"NetIncome, NetIncomeLoss"
income_statement,net_income_ratio,NetIncomeRatio,"NetIncomeRatio, NetIncomeLossRatio"
income_statement,net_income_from_continuing_operations,NetIncomeFromContinuingOperations,"NetIncomeFromContinuingOperations, NetIncomeLossFromContinuingOperations"
income_statement,net_income_from_discontinued_operations,NetIncomeFromDiscontinuedOperations,"NetIncomeFromDiscontinuedOperations, NetIncomeLossFromDiscontinuedOperations"
income_statement,other_adjustments_to_net_income,OtherAdjustmentsToNetIncome,"OtherAdjustmentsToNetIncome, OtherAdjustmentsToNetIncomeLoss"
income_statement,net_income_deductions,NetIncomeDeductions,"NetIncomeDeductions, NetIncomeLossDeductions"
income_statement,bottom_line_net_income,BottomLineNetIncome,"BottomLineNetIncome, BottomLineNetIncomeLoss"
income_statement,eps,Eps,Eps
income_statement,eps_diluted,EpsDiluted,EpsDiluted
income_statement,weighted_average_shs_out,WeightedAverageShsOut,WeightedAverageShsOut
income_statement,weighted_average_shs_out_dil,WeightedAverageShsOutDil,WeightedAverageShsOutDil
balance_sheet,cash_and_cash_equivalents,CashAndCashEquivalents,CashAndCashEquivalents
balance_sheet,short_term_investments,ShortTermInvestments,ShortTermInvestments
balance_sheet,cash_and_short_term_investments,CashAndShortTermInvestments,CashAndShortTermInvestments
balance_sheet,net_receivables,NetReceivables,NetReceivables
balance_sheet,accounts_receivables,AccountsReceivables,AccountsReceivables
balance_sheet,other_receivables,OtherReceivables,OtherReceivables
balance_sheet,inventory,Inventory,Inventory
balance_sheet,prepaids,Prepaids,Prepaids
balance_sheet,other_current_assets,OtherCurrentAssets,OtherCurrentAssets
balance_sheet,total_current_assets,TotalCurrentAssets,TotalCurrentAssets
balance_sheet,property_plant_equipment_net,PropertyPlantEquipmentNet,PropertyPlantEquipmentNet
balance_sheet,goodwill,Goodwill,Goodwill
balance_sheet,intangible_assets,IntangibleAssets,IntangibleAssets
balance_sheet,goodwill_and_intangible_assets,GoodwillAndIntangibleAssets,GoodwillAndIntangibleAssets
balance_sheet,long_term_investments,LongTermInvestments,LongTermInvestments
balance_sheet,tax_assets,TaxAssets,TaxAssets
balance_sheet,other_non_current_assets,OtherNonCurrentAssets,OtherNonCurrentAssets
balance_sheet,total_non_current_assets,TotalNonCurrentAssets,TotalNonCurrentAssets
balance_sheet,other_assets,OtherAssets,OtherAssets
balance_sheet,total_assets,TotalAssets,TotalAssets
balance_sheet,total_payables,TotalPayables,TotalPayables
balance_sheet,account_payables,AccountPayables,AccountPayables
balance_sheet,other_payables,OtherPayables,OtherPayables
balance_sheet,accrued_expenses,AccruedExpenses,AccruedExpenses
balance_sheet,short_term_debt,ShortTermDebt,ShortTermDebt
balance_sheet,capital_lease_obligations_current,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsCurrent
balance_sheet,capital_lease_obligations_non_current,CapitalLeaseObligationsNonCurrent,CapitalLeaseObligationsNonCurrent
balance_sheet,tax_payables,TaxPayables,TaxPayables
balance_sheet,deferred_revenue,DeferredRevenue,DeferredRevenue
balance_sheet,other_current_liabilities,OtherCurrentLiabilities,OtherCurrentLiabilities
balance_sheet,total_current_liabilities,TotalCurrentLiabilities,TotalCurrentLiabilities
balance_sheet,long_term_debt,LongTermDebt,LongTermDebt
balance_sheet,deferred_revenue_non_current,DeferredRevenueNonCurrent,DeferredRevenueNonCurrent
balance_sheet,deferred_tax_liabilities_non_current,DeferredTaxLiabilitiesNonCurrent,DeferredTaxLiabilitiesNonCurrent
balance_sheet,other_non_current_liabilities,OtherNonCurrentLiabilities,OtherNonCurrentLiabilities
balance_sheet,total_non_current_liabilities,TotalNonCurrentLiabilities,TotalNonCurrentLiabilities
balance_sheet,other_liabilities,OtherLiabilities,OtherLiabilities
balance_sheet,capital_lease_obligations,CapitalLeaseObligations,CapitalLeaseObligations
balance_sheet,total_liabilities,TotalLiabilities,TotalLiabilities
balance_sheet,treasury_stock,TreasuryStock,TreasuryStock
balance_sheet,preferred_stock,PreferredStock,PreferredStock
balance_sheet,common_stock,CommonStock,CommonStock
balance_sheet,retained_earnings,RetainedEarnings,RetainedEarnings
balance_sheet,additional_paid_in_capital,AdditionalPaidInCapital,AdditionalPaidInCapital
balance_sheet,accumulated_other_comprehensive_income_loss,AccumulatedOtherComprehensiveIncomeLoss,AccumulatedOtherComprehensiveIncomeLoss
balance_sheet,other_total_stockholders_equity,OtherTotalStockholdersEquity,OtherTotalStockholdersEquity
balance_sheet,total_stockholders_equity,TotalStockholdersEquity,TotalStockholdersEquity
balance_sheet,total_equity,TotalEquity,TotalEquity
balance_sheet,minority_interest,MinorityInterest,MinorityInterest
balance_sheet,total_liabilities_and_total_equity,TotalLiabilitiesAndTotalEquity,TotalLiabilitiesAndTotalEquity
balance_sheet,total_investments,TotalInvestments,TotalInvestments
balance_sheet,total_debt,TotalDebt,TotalDebt
balance_sheet,net_debt,NetDebt,NetDebt
cash_flow,net_income,NetIncome,"NetIncome, NetIncomeLoss"
cash_flow,depreciation_and_amortization,DepreciationAndAmortization,DepreciationAndAmortization
cash_flow,deferred_income_tax,DeferredIncomeTax,"DeferredIncomeTax, DeferredIncomeLossTax"
cash_flow,stock_based_compensation,StockBasedCompensation,StockBasedCompensation
cash_flow,change_in_working_capital,ChangeInWorkingCapital,ChangeInWorkingCapital
cash_flow,accounts_receivables,AccountsReceivables,AccountsReceivables
cash_flow,inventory,Inventory,Inventory
cash_flow,accounts_payables,AccountsPayables,AccountsPayables
cash_flow,other_working_capital,OtherWorkingCapital,OtherWorkingCapital
cash_flow,other_non_cash_items,OtherNonCashItems,OtherNonCashItems
cash_flow,net_cash_provided_by_operating_activities,NetCashProvidedByOperatingActivities,NetCashProvidedByOperatingActivities
cash_flow,investments_in_property_plant_and_equipment,InvestmentsInPropertyPlantAndEquipment,InvestmentsInPropertyPlantAndEquipment
cash_flow,acquisitions_net,AcquisitionsNet,AcquisitionsNet
cash_flow,purchases_of_investments,PurchasesOfInvestments,PurchasesOfInvestments
cash_flow,sales_maturities_of_investments,SalesMaturitiesOfInvestments,SalesMaturitiesOfInvestments
cash_flow,other_investing_activities,OtherInvestingActivities,OtherInvestingActivities
